ref_x,ref_y,ref_z,x,y,z,w,e1,e2,e3,u,v,w,p,q,r,sec,nanosec
0.0,0.0,0.0,0.0972680024079894,-2.2089324938341757,0.14008370043781615,-0.6065509135282949,0.0004681763810718612,0.0024812609456853884,-0.7950406363532536,-0.019940777183284186,-0.044789907912607715,0.0030759682960745847,-0.0012056732202836429,0.0001138137470491074,0.009417203364137094,1374,135000000
0.0,0.0,0.0,0.1012442740139628,-2.2093261292834208,0.1400553188215466,-0.6061956010922753,0.0004899651792046691,0.002487427986205532,-0.795311552696496,-0.016329240949856966,-0.04806752521392211,0.0038267115172826325,-0.00037222294793082256,0.0005137781386110873,0.012341753426881041,1374,237000000
0.0,0.0,0.0,0.10647336271162389,-2.2093758642781536,0.14010547120419073,-0.6056554010624788,0.0005243623167463458,0.002474361557908786,-0.7957230282848984,-0.012823046862577292,-0.052069047271814814,0.001885484321431842,-0.00015754565367842588,0.0008713127158443967,0.014414959332498256,1374,330000000
0.0,0.0,0.0,0.11086631458916783,-2.2091196474049153,0.14008394548803027,-0.6051531025344487,0.0005455052070681303,0.002433560231630575,-0.7961052083120667,-0.010632070326160627,-0.05510930186570441,0.004017157610130815,0.0006579277055607236,0.0012013709351776924,0.016770659749454353,1374,419000000
0.0,0.0,0.0,0.11781236354089716,-2.208356203773752,0.14013639490780536,-0.6042890554052073,0.0005905834677873714,0.002355800804079487,-0.7967614692812531,-0.008616624921130942,-0.059454298857859425,0.0008125011497642397,0.00028892311689787675,0.0015544303437309281,0.01919050428114133,1374,514000000
0.0,0.0,0.0,0.12394036782097761,-2.2074867937079947,0.14015892256626392,-0.6034627662404942,0.0006551998571451548,0.0023151249258462334,-0.7973875473514088,-0.007996640616876716,-0.06287371320548209,0.0014859991274949595,-0.00010145446793785595,0.0015592310774081852,0.02177788264816627,1374,628000000
0.0,0.0,0.0,0.12906606266534942,-2.206701062994914,0.1400721346226512,-0.6027438715070037,0.0007073714233154766,0.0022853049962830553,-0.7979311388631802,-0.008007878958938362,-0.06547467009786076,0.006317551865750605,-0.00034969577598076285,0.0015052257481329434,0.023033372963254806,1374,727000000
0.0,0.0,0.0,0.1357469376395518,-2.2056551886023352,0.13998501963552243,-0.60180650445382,0.0007763517737738843,0.002255815162353654,-0.7986383660787596,-0.008571323001132159,-0.0684626832173405,2.023584114130119e-05,-0.0007427263426507125,0.0015065822140059026,0.02374932500970317,1374,815000000
0.0,0.0,0.0,0.1427340035274821,-2.204605059399949,0.13997532632624435,-0.6008116159433513,0.0008627703498958004,0.0022578016587481106,-0.7993869902034508,-0.009900300549673747,-0.07127685808474378,-0.005702637612152498,-0.0013948129208074533,0.0013342540000849112,0.025936438578355592,1374,909000000
0.0,0.0,0.0,0.1500325266696627,-2.2036230935360632,0.13997615386792794,-0.5997317714429939,0.000949419500873774,0.002271143364767081,-0.8001973149369326,-0.01184047091271707,-0.07397978817704867,-0.00571946020280812,-0.0012839436067224597,0.0012650995927288022,0.027753337599278893,1375,3000000
0.0,0.0,0.0,0.1576371744232817,-2.2027521058420616,0.13999864754822952,-0.5985650280845963,0.001040722249783147,0.0023001059916761407,-0.8010702425903188,-0.014141854850488324,-0.07648660502916191,-0.006435490769096048,-0.0016018622318370035,0.0011379069405847986,0.030113996399450116,1375,98000000
